batting_team,win,runs_scored,num_out,balls_faced,num_fours,num_sixes,num_dots,total_matches,average,run_rate,balls_per_six,balls_per_boundary,win_rate
Afghanistan,15.0,3371.0,147.0,2617,233,148,1137,22,22.9319727891,7.72869698128,17.6824324324,11.2317596567,0.681818181818
Australia,18.0,6123.0,235.0,4374,448,248,1687,37,26.0553191489,8.39917695473,17.6370967742,9.76339285714,0.486486486486
Bangladesh,6.0,2649.0,146.0,2237,229,66,1050,19,18.1438356164,7.10505140814,33.8939393939,9.76855895197,0.315789473684
Bermuda,0.0,210.0,26.0,240,7,3,178,2,8.07692307692,5.25,80.0,34.2857142857,0.0
Canada,1.0,1063.0,56.0,956,79,22,424,8,18.9821428571,6.67154811715,43.4545454545,12.1012658228,0.125
England,23.0,6001.0,241.0,4378,489,211,1741,37,24.9004149378,8.22430333486,20.7488151659,8.95296523517,0.621621621622
Hong Kong,1.0,650.0,41.0,598,56,15,306,5,15.8536585366,6.52173913043,39.8666666667,10.6785714286,0.2
India,19.0,5407.0,197.0,4040,448,170,1656,34,27.4467005076,8.0301980198,23.7647058824,9.01785714286,0.558823529412
Ireland,10.0,2488.0,119.0,1905,197,61,879,17,20.9075630252,7.83622047244,31.2295081967,9.67005076142,0.588235294118
Kenya,4.0,1758.0,122.0,1651,132,37,932,14,14.4098360656,6.38885523925,44.6216216216,12.5075757576,0.285714285714
Nepal,2.0,726.0,54.0,793,66,9,460,7,13.4444444444,5.49306431274,88.1111111111,12.0151515152,0.285714285714
Netherlands,9.0,2600.0,115.0,2095,193,58,917,18,22.6086956522,7.44630071599,36.1206896552,10.8549222798,0.5
New Zealand,22.0,6558.0,255.0,4873,509,242,1983,41,25.7176470588,8.07469731172,20.1363636364,9.57367387033,0.536585365854
Oman,2.0,879.0,34.0,717,76,20,305,6,25.8529411765,7.35564853556,35.85,9.43421052632,0.333333333333
Pakistan,34.0,8050.0,335.0,6335,653,233,2711,53,24.0298507463,7.62430939227,27.1888412017,9.70137825421,0.641509433962
Papua New Guinea,1.0,335.0,20.0,360,14,6,178,3,16.75,5.58333333333,60.0,25.7142857143,0.333333333333
Scotland,5.0,1840.0,93.0,1520,151,47,668,14,19.7849462366,7.26315789474,32.3404255319,10.0662251656,0.357142857143
South Africa,28.0,6904.0,253.0,5157,563,229,2060,45,27.2885375494,8.0325770797,22.519650655,9.15985790409,0.622222222222
Sri Lanka,28.0,6934.0,256.0,5127,647,174,2150,43,27.0859375,8.11468695143,29.4655172414,7.92426584235,0.651162790698
United Arab Emirates,5.0,1540.0,78.0,1308,131,49,626,11,19.7435897436,7.06422018349,26.693877551,9.98473282443,0.454545454545
West Indies,22.0,6086.0,243.0,4655,452,263,2165,39,25.0452674897,7.84446831364,17.6996197719,10.2986725664,0.564102564103
Zimbabwe,7.0,3539.0,152.0,2829,300,106,1245,24,23.2828947368,7.50583244963,26.6886792453,9.43,0.291666666667
